Países,Deuda total (M.€),Deuda total (M.€).1,Deuda total (M.$),Deuda total (M.$).1,Deuda (%PIB),Deuda Per Cápita,Deuda Per Cápita.1,Fecha
España [+],569.535,,793.515,,"53,10%",12.252 €,17.070 $,
Alemania [+],1.804.696,,2.514.425,,"72,40%",22.062 €,30.738 $,
Reino Unido [+],1.101.852,,1.571.901,,"63,20%",17.627 €,25.146 $,
Francia [+],1.627.182,,2.267.126,,"84,10%",25.166 €,35.063 $,
Italia [+],1.839.806,,2.563.332,,"116,10%",30.823 €,42.944 $,
Portugal [+],153.624,,214.582,,"87,60%",14.529 €,20.294 $,
Estados Unidos [+],9.047.958,,12.606.230,,"87,07%",29.494 €,41.093 $,
Japón [+],6.621.157,,9.225.046,,"172,86%",51.910 €,72.324 $,
China [+],1.262.659,,1.759.222,,"33,99%",946 €,1.318 $,
Andorra [+],822,,1.231,,"33,51%",11.173 €,16.726 $,
Emiratos Árabes Unidos [+],38.463,,53.590,,"21,14%",5.678 €,7.911 $,
Afganistán [+],1.407,,1.960,,"16,25%",51 €,72 $,
Antigua y Barbuda [+],887,,1.236,,"89,15%",10.563 €,14.717 $,
Albania [+],5.158,,7.186,,"59,67%",1.767 €,2.462 $,
Armenia [+],2.520,,3.511,,"40,60%",776 €,1.081 $,
Angola [+],28.411,,39.584,,"48,45%",1.268 €,1.766 $,
Argentina [+],133.052,,185.377,,"55,40%",3.315 €,4.619 $,
Austria [+],231.173,,322.086,,"80,80%",27.680 €,38.566 $,
Australia [+],119.403,,166.361,,"16,57%",5.461 €,7.608 $,
Azerbaiyán [+],1.503,,2.094,,"4,73%",167 €,233 $,
Bosnia y Herzegovina [+],4.611,,6.425,,"36,37%",1.200 €,1.671 $,
Barbados [+],3.218,,4.483,,"83,47%",11.574 €,16.126 $,
Bangladés [+],29.085,,40.523,,"33,01%",199 €,278 $,
Bélgica [+],347.318,,483.776,,"99,90%",32.041 €,44.629 $,
Burkina Faso [+],1.753,,2.442,,"25,87%",112 €,155 $,
Bulgaria [+],5.112,,7.581,,"13,70%",689 €,1.021 $,
Baréin [+],3.516,,4.899,,"20,49%",2.985 €,4.159 $,
Burundi [+],327,,456,,"25,69%",37 €,51 $,
Benin [+],1.309,,1.824,,"18,75%",138 €,192 $,
Brunéi [+],95,,132,,"1,11%",249 €,347 $,
Bolivia [+],4.915,,6.848,,"34,12%",491 €,684 $,
